Births (1-year) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName  Year          Female      Male     Total
AUS      1860           23262     24464     47726
AUS      1861           23806     25102     48908
AUS      1862           24896     26483     51379
AUS      1863           25134     26233     51367
AUS      1864           26838     28608     55446
AUS      1865           27986     29175     57161
AUS      1866           27457     28927     56384
AUS      1867           28922     30245     59167
AUS      1868           29896     31269     61165
AUS      1869           29527     30996     60523
AUS      1870           30437     32195     62632
AUS      1871           30921     32704     63625
AUS      1872           31589     32233     63822
AUS      1873           32561     33667     66228
AUS      1874           32809     34221     67030
AUS      1875           32970     34257     67227
AUS      1876           33903     35358     69261
AUS      1877           34041     35752     69793
AUS      1878           35321     37640     72961
AUS      1879           37203     38882     76085
AUS      1880           37757     39683     77440
AUS      1881           38884     41120     80004
AUS      1882           39600     41343     80943
AUS      1883           41533     43669     85202
AUS      1884           44392     46602     90994
AUS      1885           46210     48363     94573
AUS      1886           47227     49733     96960
AUS      1887           49309     51607    100916
AUS      1888           50888     53192    104080
AUS      1889           50678     54046    104724
AUS      1890           53384     55299    108683
AUS      1891           53758     56429    110187
AUS      1892           53699     56459    110158
AUS      1893           53125     56197    109322
AUS      1894           50957     53703    104660
AUS      1895           51184     53900    105084
AUS      1896           48979     51155    100134
AUS      1897           49440     51697    101137
AUS      1898           48041     50804     98845
AUS      1899           49209     51429    100638
AUS      1900           49881     52340    102221
AUS      1901           50436     52509    102945
AUS      1902           50160     52616    102776
AUS      1903           48037     50406     98443
AUS      1904           50755     53358    104113
AUS      1905           51046     53895    104941
AUS      1906           52376     55514    107890
AUS      1907           53858     56489    110347
AUS      1908           54432     57113    111545
AUS      1909           55589     58482    114071
AUS      1910           56595     60206    116801
AUS      1911           59685     62508    122193
AUS      1912           65066     68022    133088
AUS      1913           66280     69434    135714
AUS      1914           67379     70604    137983
AUS      1915           65822     69049    134871
AUS      1916           63921     67505    131426
AUS      1917           63082     66883    129965
AUS      1918           61281     64458    125739
AUS      1919           59359     62931    122290
AUS      1920           66150     70256    136406
AUS      1921           66159     70039    136198
AUS      1922           66914     70582    137496
AUS      1923           65857     69365    135222
AUS      1924           66127     68800    134927
AUS      1925           66250     69542    135792
AUS      1926           64740     68422    133162
AUS      1927           64818     68880    133698
AUS      1928           64926     69152    134078
AUS      1929           62857     66623    129480
AUS      1930           62516     65883    128399
AUS      1931           57488     61021    118509
AUS      1932           53958     56975    110933
AUS      1933           54109     57160    111269
AUS      1934           53627     55848    109475
AUS      1935           54433     56892    111325
AUS      1936           56679     59394    116073
AUS      1937           58226     60905    119131
AUS      1938           58523     61892    120415
AUS      1939           59838     63053    122891
AUS      1940           61752     64595    126347
AUS      1941           65564     68961    134525
AUS      1942           66481     70227    136708
AUS      1943           72942     76353    149295
AUS      1944           75002     78342    153344
AUS      1945           78103     82457    160560
AUS      1946           85411     90968    176379
AUS      1947           88566     93818    182384
AUS      1948           86665     91311    177976
AUS      1949           88515     92746    181261
AUS      1950           92761     97830    190591
AUS      1951           93897     99401    193298
AUS      1952           98269    103381    201650
AUS      1953           98736    103499    202235
AUS      1954           98701    103555    202256
AUS      1955          101227    106450    207677
AUS      1956          102544    109589    212133
AUS      1957          107121    113237    220358
AUS      1958          108547    113957    222504
AUS      1959          110735    116241    226976
AUS      1960          111911    118415    230326
AUS      1961          116874    123112    239986
AUS      1962          114971    122110    237081
AUS      1963          114553    121136    235689
AUS      1964          111087    118062    229149
AUS      1965          108388    114466    222854
AUS      1966          108653    115078    223731
AUS      1967          111616    117680    229296
AUS      1968          117279    123627    240906
AUS      1969          121905    128271    250176
AUS      1970          125544    131972    257516
AUS      1971          135248    141114    276362
AUS      1972          128960    136009    264969
AUS      1973          120701    126969    247670
AUS      1974          118882    126295    245177
AUS      1975          113012    119726    232738
AUS      1976          110761    116598    227359
AUS      1977          110070    117002    227072
AUS      1978          109763    115187    224950
AUS      1979          108462    114859    223321
AUS      1980          110192    116282    226474
AUS      1981          115511    122141    237652
AUS      1982          116038    122737    238775
AUS      1983          118256    124746    243002
AUS      1984          118256    123982    242238
AUS      1985          118886    125151    244037
AUS      1986          118641    125245    243886
AUS      1987          118856    125343    244199
AUS      1988          122483    128825    251308
AUS      1989          124089    130517    254606
AUS      1990          127810    135002    262812
AUS      1991          125601    132673    258274
AUS      1992          128743    135511    264254
AUS      1993          127177    134344    261521
AUS      1994          127504    134708    262212
AUS      1995          126674    133482    260156
AUS      1996          125288    132586    257874
AUS      1997          124546    130932    255478
AUS      1998          123631    129872    253503
AUS      1999          125036    131296    256332
AUS      2000          124627    131186    255813
AUS      2001          122483    129065    251548
AUS      2002          123572    129821    253393
AUS      2003          123285    130491    253776
AUS      2004          123566    130757    254323
AUS      2005          131015    137996    269011
AUS      2006          134102    142175    276277
AUS      2007          141355    149293    290648
AUS      2008          143081    150833    293914
AUS      2009          143981    152315    296296
AUS      2010          145052    151970    297022
AUS      2011          145635    154090    299725
AUS      2012          149578    158940    308518
AUS      2013          148279    157076    305355
AUS      2014          149847    157906    307753
AUS      2015          147656    156298    303954
AUS      2016          150156    158831    308987
AUS      2017          145176    154013    299189
AUS      2018          143845    152602    296447
AUS      2019          143145    151738    294883
AUS      2020          138666    146381    285047
AUS      2021          151079    158917    309996
AUT      1871           74495     79007    153502
AUT      1872           76616     81779    158395
AUT      1873           79119     83444    162563
AUT      1874           79303     83571    162874
AUT      1875           80523     84381    164904
AUT      1876           82690     87245    169935
AUT      1877           79977     84754    164731
AUT      1878           79156     82950    162106
AUT      1879           79671     83991    163662
AUT      1880           80565     84901    165466
AUT      1881           79747     84342    164089
AUT      1882           80859     85209    166068
AUT      1883           80508     85282    165790
AUT      1884           82813     86990    169803
AUT      1885           81715     86354    168069
AUT      1886           82870     87189    170059
AUT      1887           83302     87433    170735
AUT      1888           82955     87244    170199
AUT      1889           83906     88033    171939
AUT      1890           80780     84821    165601
AUT      1891           85741     90827    176568
AUT      1892           83561     88233    171794
AUT      1893           85183     90453    175636
AUT      1894           85871     90636    176507
AUT      1895           88467     92669    181136
AUT      1896           88826     94018    182844
AUT      1897           88431     93451    181882
AUT      1898           89687     94740    184427
AUT      1899           91114     95176    186290
AUT      1900           91164     95930    187094
AUT      1901           92185     97354    189539
AUT      1902           92981     98945    191926
AUT      1903           90051     94193    184244
AUT      1904           91210     96753    187963
AUT      1905           88284     93401    181685
AUT      1906           90212     94265    184477
AUT      1907           88507     92519    181026
AUT      1908           87482     92552    180034
AUT      1909           87841     92265    180106
AUT      1910           85920     90668    176588
AUT      1911           82575     86341    168916
AUT      1912           82848     87707    170555
AUT      1913           79643     83711    163354
AUT      1914           78801     82891    161692
AUT      1915           61432     64248    125680
AUT      1916           48162     50733     98895
AUT      1917           44723     47566     92289
AUT      1918           45077     47483     92560
AUT      1919           57398     61120    118518
AUT      1920           70726     75918    146644
AUT      1921           73302     77836    151138
AUT      1922           73128     77830    150958
AUT      1923           71374     75511    146885
AUT      1924           68531     73610    142141
AUT      1925           65822     70019    135841
AUT      1926           61581     65669    127250
AUT      1927           57411     61258    118669
AUT      1928           56591     60138    116729
AUT      1929           54412     57635    112047
AUT      1930           54630     57700    112330
AUT      1931           51615     54709    106324
AUT      1932           49440     52837    102277
AUT      1933           46738     49631     96369
AUT      1934           44674     46893     91567
AUT      1935           43204     45485     88689
AUT      1936           42805     45459     88264
AUT      1937           41810     44541     86351
AUT      1938           45402     48410     93812
AUT      1939           66636     71189    137825
AUT      1940           70608     75318    145926
AUT      1941           65793     69605    135398
AUT      1942           56393     59779    116172
AUT      1943           59220     63223    122443
AUT      1944           61775     65163    126938
AUT      1945           49081     52288    101369
AUT      1946           53616     57686    111302
AUT      1947           62179     66774    128953
AUT      1948           59655     63566    123221
AUT      1949           54885     58490    113375
AUT      1950           52249     55605    107854
AUT      1951           50053     52711    102764
AUT      1952           49814     53198    103012
AUT      1953           50039     52828    102867
AUT      1954           50570     53415    103985
AUT      1955           52809     55766    108575
AUT      1956           56674     59153    115827
AUT      1957           57455     61257    118712
AUT      1958           58429     61326    119755
AUT      1959           60215     64162    124377
AUT      1960           61150     64795    125945
AUT      1961           63828     67735    131563
AUT      1962           64917     68336    133253
AUT      1963           66050     68759    134809
AUT      1964           65475     68366    133841
AUT      1965           63421     66503    129924
AUT      1966           62791     65786    128577
AUT      1967           61989     65415    127404
AUT      1968           61154     64961    126115
AUT      1969           59317     62060    121377
AUT      1970           54423     57878    112301
AUT      1971           52746     55764    108510
AUT      1972           50621     53412    104033
AUT      1973           47637     50404     98041
AUT      1974           47419     50011     97430
AUT      1975           45592     48165     93757
AUT      1976           42434     45012     87446
AUT      1977           41617     43978     85595
AUT      1978           41536     43866     85402
AUT      1979           41913     44475     86388
AUT      1980           43998     46874     90872
AUT      1981           45820     48122     93942
AUT      1982           46641     48199     94840
AUT      1983           43989     46129     90118
AUT      1984           43710     45524     89234
AUT      1985           42386     45054     87440
AUT      1986           42429     44535     86964
AUT      1987           42218     44285     86503
AUT      1988           42697     45355     88052
AUT      1989           43254     45505     88759
AUT      1990           43976     46478     90454
AUT      1991           46024     48605     94629
AUT      1992           46206     49096     95302
AUT      1993           46460     48767     95227
AUT      1994           45003     47412     92415
AUT      1995           43250     45419     88669
AUT      1996           43251     45558     88809
AUT      1997           41103     42942     84045
AUT      1998           39521     41712     81233
AUT      1999           38147     39991     78138
AUT      2000           38136     40132     78268
AUT      2001           36861     38597     75458
AUT      2002           38281     40118     78399
AUT      2003           37402     39542     76944
AUT      2004           38428     40540     78968
AUT      2005           38312     39878     78190
AUT      2006           38169     39745     77914
AUT      2007           37310     38940     76250
AUT      2008           37626     40126     77752
AUT      2009           37272     39072     76344
AUT      2010           38411     40331     78742
AUT      2011           37714     40395     78109
AUT      2012           38130     40822     78952
AUT      2013           38377     40953     79330
AUT      2014           39560     42162     81722
AUT      2015           40777     43604     84381
AUT      2016           42624     45051     87675
AUT      2017           42380     45253     87633
AUT      2018           41739     43796     85535
AUT      2019           41372     43580     84952
AUT      2020           40669     42934     83603
AUT      2021           41841     44237     86078
AUT      2022           40060     42567     82627
AUT      2023           37596     40009     77605
BEL      1840           67043     71099    138142
BEL      1841           67459     70676    138135
BEL      1842           65512     69515    135027
BEL      1843           64665     68246    132911
BEL      1844           65382     68594    133976
BEL      1845           66607     70405    137012
BEL      1846           58387     61223    119610
BEL      1847           57567     60539    118106
BEL      1848           58431     61952    120383
BEL      1849           65012     68093    133105
BEL      1850           64176     67240    131416
BEL      1851           65509     68739    134248
BEL      1852           65163     69234    134397
BEL      1853           62158     65570    127728
BEL      1854           64429     67408    131837
BEL      1855           61325     64630    125955
BEL      1856           65339     68848    134187
BEL      1857           69922     73369    143291
BEL      1858           70782     74292    145074
BEL      1859           73287     76525    149812
BEL      1860           70300     74368    144668
BEL      1861           71759     75674    147433
BEL      1862           70700     74868    145568
BEL      1863           75739     79825    155564
BEL      1864           75850     80022    155872
BEL      1865           76381     79942    156323
BEL      1866           77388     80622    158010
BEL      1867           76401     80748    157149
BEL      1868           76198     79936    156134
BEL      1869           77362     81325    158687
BEL      1870           80202     84370    164572
BEL      1871           77589     81171    158760
BEL      1872           81627     85750    167377
BEL      1873           83580     87128    170708
BEL      1874           84753     89225    173978
BEL      1875           85795     89757    175552
BEL      1876           86476     90439    176915
BEL      1877           85499     89578    175077
BEL      1878           84397     88333    172730
BEL      1879           85302     89339    174641
BEL      1880           84082     87782    171864
BEL      1881           86027     89384    175411
BEL      1882           85715     90630    176345
BEL      1883           85322     89162    174484
BEL      1884           86314     90407    176721
BEL      1885           85736     89307    175043
BEL      1886           85773     89318    175091
BEL      1887           85645     89821    175466
BEL      1888           86303     89283    175586
BEL      1889           86736     90806    177542
BEL      1890           86423     90172    176595
BEL      1891           88729     93188    181917
BEL      1892           86848     90637    177485
BEL      1893           89490     93572    183062
BEL      1894           88376     93090    181466
BEL      1895           90265     94117    184382
BEL      1896           92782     97191    189973
BEL      1897           94010     98485    192495
BEL      1898           93795     98612    192407
BEL      1899           95775    100015    195790
BEL      1900           95178    100176    195354
BEL      1901           98384    103224    201608
BEL      1902           96161    101228    197389
BEL      1903           94618     99104    193722
BEL      1904           94055     99150    193205
BEL      1905           92478     96329    188807
BEL      1906           91954     95800    187754
BEL      1907           91328     95282    186610
BEL      1908           90750     94613    185363
BEL      1909           86762     91108    177870
BEL      1910           86918     90946    177864
BEL      1911           84865     88274    173139
BEL      1912           84472     88048    172520
BEL      1913           84412     87964    172376
BEL      1914           76369     80020    156389
BEL      1915           60808     63483    124291
BEL      1916           48071     51289     99360
BEL      1917           42604     44071     86675
BEL      1918           41402     43654     85056
BEL      1919           60059     64145    124204
BEL      1920           80010     84940    164950
BEL      1921           80053     84550    164603
BEL      1922           75352     79429    154781
BEL      1923           76186     80414    156600
BEL      1924           75219     78864    154083
BEL      1925           75960     79370    155330
BEL      1926           73897     77112    151009
BEL      1927           71424     74872    146296
BEL      1928           72433     75638    148071
BEL      1929           72134     75177    147311
BEL      1930           74332     78198    152530
BEL      1931           73067     76590    149657
BEL      1932           71423     74412    145835
BEL      1933           66465     70292    136757
BEL      1934           65221     68293    133514
BEL      1935           62633     65799    128432
BEL      1936           62387     65364    127751
BEL      1937           62585     66111    128696
BEL      1938           65307     68303    133610
BEL      1939           63732     66287    130019
BEL      1940           54698     57799    112497
BEL      1941           48876     51740    100616
BEL      1942           52285     56318    108603
BEL      1943           59664     63685    123349
BEL      1944           61520     65602    127122
BEL      1945           63499     67027    130526
BEL      1946           73931     79031    152962
BEL      1947           72821     77406    150227
BEL      1948           73169     77247    150416
BEL      1949           71635     76219    147854
BEL      1950           70894     74778    145672
BEL      1951           69251     73063    142314
BEL      1952           70680     75384    146064
BEL      1953           70843     75282    146125
BEL      1954           72301     76237    148538
BEL      1955           72711     76484    149195
BEL      1956           73217     76993    150210
BEL      1957           73897     78974    152871
BEL      1958           75184     79864    155048
BEL      1959           76876     81361    158237
BEL      1960           75178     79606    154784
BEL      1961           76943     81488    158431
BEL      1962           75274     79787    155061
BEL      1963           77318     81874    159192
BEL      1964           78205     82633    160838
BEL      1965           75469     80027    155496
BEL      1966           73593     77503    151096
BEL      1967           70829     75364    146193
BEL      1968           69037     72947    141984
BEL      1969           68833     72966    141799
BEL      1970           68997     73171    142168
BEL      1971           68774     72753    141527
BEL      1972           66290     70014    136304
BEL      1973           62848     66576    129424
BEL      1974           60079     63595    123674
BEL      1975           58119     61574    119693
BEL      1976           58806     62228    121034
BEL      1977           59397     62455    121852
BEL      1978           59645     62947    122592
BEL      1979           59732     64093    123825
BEL      1980           60620     63778    124398
BEL      1981           60092     63700    123792
BEL      1982           58405     61826    120231
BEL      1983           56936     60209    117145
BEL      1984           56320     59331    115651
BEL      1985           55520     58572    114092
BEL      1986           56621     60493    117114
BEL      1987           56964     60390    117354
BEL      1988           58259     61520    119779
BEL      1989           58956     61948    120904
BEL      1990           60355     63421    123776
BEL      1991           61338     64586    125924
BEL      1992           60891     63883    124774
BEL      1993           59059     61789    120848
BEL      1994           56553     59960    116513
BEL      1995           56461     59081    115542
BEL      1996           57046     59396    116442
BEL      1997           56778     59435    116213
BEL      1998           55714     58562    114276
BEL      1999           55611     57858    113469
BEL      2000           56093     58790    114883
BEL      2001           55929     58243    114172
BEL      2002           54181     57044    111225
BEL      2003           54810     57339    112149
BEL      2004           56189     59429    115618
BEL      2005           57427     60575    118002
BEL      2006           59432     61950    121382
BEL      2007           61241     63987    125228
BEL      2008           62318     65731    128049
BEL      2009           62100     65197    127297
BEL      2010           63574     66526    130100
BEL      2011           62814     65891    128705
BEL      2012           62713     65338    128051
BEL      2013           61235     64371    125606
BEL      2014           60841     64173    125014
BEL      2015           59713     62561    122274
BEL      2016           59468     62428    121896
BEL      2017           58511     61179    119690
BEL      2018           57921     60398    118319
BEL      2019           57783     59912    117695
BEL      2020           55843     58507    114350
BEL      2021           57840     60509    118349
BEL      2022           55754     58341    114095
BEL      2023           54310     56475    110785
BGR      1947           82390     87772    170162
BGR      1948           85122     90649    175771
BGR      1949           85835     91899    177734
BGR      1950           88297     94385    182682
BGR      1951           74276     78717    152993
BGR      1952           74682     79526    154208
BGR      1953           73994     79226    153220
BGR      1954           72496     77406    149902
BGR      1955           73478     77500    150978
BGR      1956           71668     76242    147910
BGR      1957           68781     72254    141035
BGR      1958           67226     71068    138294
BGR      1959           66453     70439    136892
BGR      1960           67867     72215    140082
BGR      1961           66617     71244    137861
BGR      1962           65314     68834    134148
BGR      1963           64099     68044    132143
BGR      1964           63511     67447    130958
BGR      1965           60985     64806    125791
BGR      1966           59575     63464    123039
BGR      1967           60420     64162    124582
BGR      1968           68840     72620    141460
BGR      1969           69594     73466    143060
BGR      1970           66921     71824    138745
BGR      1971           65643     69779    135422
BGR      1972           63540     67776    131316
BGR      1973           68056     71657    139713
BGR      1974           72489     76707    149196
BGR      1975           70316     74352    144668
BGR      1976           70247     74682    144929
BGR      1977           68869     72833    141702
BGR      1978           66394     70048    136442
BGR      1979           65450     69908    135358
BGR      1980           62118     66072    128190
BGR      1981           60218     64154    124372
BGR      1982           60211     63955    124166
BGR      1983           59951     63042    122993
BGR      1984           59243     63060    122303
BGR      1985           58016     60939    118955
BGR      1986           58728     61350    120078
BGR      1987           56925     59747    116672
BGR      1988           56939     60501    117440
BGR      1989           54700     57589    112289
BGR      1990           51152     54028    105180
BGR      1991           46411     49499     95910
BGR      1992           43175     45959     89134
BGR      1993           40914     43486     84400
BGR      1994           38904     40538     79442
BGR      1995           35165     36802     71967
BGR      1996           34952     37236     72188
BGR      1997           30821     33304     64125
BGR      1998           31715     33646     65361
BGR      1999           35233     37058     72291
BGR      2000           35897     37782     73679
BGR      2001           33055     35125     68180
BGR      2002           32002     34497     66499
BGR      2003           32689     34670     67359
BGR      2004           33860     36026     69886
BGR      2005           34597     36478     71075
BGR      2006           35870     38108     73978
BGR      2007           36527     38822     75349
BGR      2008           37726     39986     77712
BGR      2009           39644     41312     80956
BGR      2010           36677     38836     75513
BGR      2011           34313     36533     70846
BGR      2012           33459     35662     69121
BGR      2013           32534     34044     66578
BGR      2014           32850     34735     67585
BGR      2015           31881     34069     65950
BGR      2016           31609     33375     64984
BGR      2017           31168     32787     63955
BGR      2018           30053     32144     62197
BGR      2019           30023     31515     61538
BGR      2020           28714     30372     59086
BGR      2021           28605     30073     58678
BLR      1959           98845    105729    204574
BLR      1960           97049    103169    200218
BLR      1961           94595     99644    194239
BLR      1962           90063     95239    185302
BLR      1963           83825     90064    173889
BLR      1964           78684     83110    161794
BLR      1965           74732     79133    153865
BLR      1966           74789     78625    153414
BLR      1967           71805     75696    147501
BLR      1968           71168     74927    146095
BLR      1969           68866     73786    142652
BLR      1970           71342     75334    146676
BLR      1971           72827     76308    149135
BLR      1972           71669     76144    147813
BLR      1973           70312     74417    144729
BLR      1974           71428     75448    146876
BLR      1975           71380     75137    146517
BLR      1976           71896     76016    147912
BLR      1977           72659     76304    148963
BLR      1978           73810     77243    151053
BLR      1979           73750     78050    151800
BLR      1980           75286     79146    154432
BLR      1981           76939     80960    157899
BLR      1982           77981     81383    159364
BLR      1983           84448     89062    173510
BLR      1984           82075     86674    168749
BLR      1985           80363     84671    165034
BLR      1986           83452     88159    171611
BLR      1987           79183     83754    162937
BLR      1988           78884     84309    163193
BLR      1989           74569     78880    153449
BLR      1990           68875     73292    142167
BLR      1991           63593     68452    132045
BLR      1992           62315     65656    127971
BLR      1993           56827     60557    117384
BLR      1994           53629     56970    110599
BLR      1995           48736     52408    101144
BLR      1996           46410     49388     95798
BLR      1997           43599     45987     89586
BLR      1998           44605     48040     92645
BLR      1999           45030     47945     92975
BLR      2000           45512     48179     93691
BLR      2001           44278     47442     91720
BLR      2002           43091     45652     88743
BLR      2003           42885     45627     88512
BLR      2004           43275     45668     88943
BLR      2005           44012     46295     90307
BLR      2006           46872     49849     96721
BLR      2007           50220     53406    103626
BLR      2008           52278     55598    107876
BLR      2009           52940     56323    109263
BLR      2010           52336     55714    108050
BLR      2011           53034     56113    109147
BLR      2012           56193     59700    115893
BLR      2013           57219     60778    117997
BLR      2014           57258     61276    118534
BLR      2015           57651     61337    118988
BLR      2016           57132     60647    117779
BLR      2017           49844     52712    102556
BLR      2018           45802     48240     94042
CAN      1921          123889    133839    257728
CAN      1922          123516    129055    252571
CAN      1923          116473    124003    240476
CAN      1924          118935    125590    244525
CAN      1925          117702    124686    242388
CAN      1926          112887    119863    232750
CAN      1927          113533    120655    234188
CAN      1928          115252    121505    236757
CAN      1929          114524    120891    235415
CAN      1930          118643    124852    243495
CAN      1931          116851    123622    240473
CAN      1932          114584    121082    235666
CAN      1933          108480    114388    222868
CAN      1934          107980    113323    221303
CAN      1935          108158    113293    221451
CAN      1936          107082    113289    220371
CAN      1937          107092    113143    220235
CAN      1938          111584    117862    229446
CAN      1939          111874    117594    229468
CAN      1940          119037    125279    244316
CAN      1941          124142    131175    255317
CAN      1942          131729    140584    272313
CAN      1943          137855    145725    283580
CAN      1944          137568    146652    284220
CAN      1945          139818    148912    288730
CAN      1946          160787    169945    330732
CAN      1947          175121    183973    359094
CAN      1948          169184    178123    347307
CAN      1949          177800    188339    366139
CAN      1950          180596    191413    372009
CAN      1951          185174    195918    381092
CAN      1952          195489    208270    403759
CAN      1953          203461    214423    417884
CAN      1954          212030    224168    436198
CAN      1955          215555    227382    442937
CAN      1956          219042    231697    450739
CAN      1957          228020    241073    469093
CAN      1958          228445    241675    470120
CAN      1959          233202    246073    479275
CAN      1960          232522    246029    478551
CAN      1961          231297    244403    475700
CAN      1962          228823    240870    469693
CAN      1963          226902    238865    465767
CAN      1964          220258    232657    452915
CAN      1965          203483    215112    418595
CAN      1966          188782    198928    387710
CAN      1967          181047    189847    370894
CAN      1968          176821    187489    364310
CAN      1969          179849    189798    369647
CAN      1970          180553    191435    371988
CAN      1971          175541    186646    362187
CAN      1972          168537    178782    347319
CAN      1973          166572    176801    343373
CAN      1974          170400    180250    350650
CAN      1975          174789    184534    359323
CAN      1976          175155    184832    359987
CAN      1977          175477    185923    361400
CAN      1978          174973    183879    358852
CAN      1979          177682    188382    366064
CAN      1980          180314    190395    370709
CAN      1981          180743    190603    371346
CAN      1982          181775    191307    373082
CAN      1983          181453    192236    373689
CAN      1984          183353    193678    377031
CAN      1985          182480    193247    375727
CAN      1986          181870    191043    372913
CAN      1987          180428    189314    369742
CAN      1988          183806    192989    376795
CAN      1989          191509    201152    392661
CAN      1990          197281    208205    405486
CAN      1991          195916    206612    402528
CAN      1992          194264    204378    398642
CAN      1993          188650    199744    388394
CAN      1994          186939    198173    385112
CAN      1995          184258    193753    378011
CAN      1996          177984    188216    366200
CAN      1997          169624    178974    348598
CAN      1998          167158    175253    342411
CAN      1999          164190    173054    337244
CAN      2000          159486    168380    327866
CAN      2001          162589    171153    333742
CAN      2002          159960    168842    328802
CAN      2003          163511    171691    335202
CAN      2004          163918    173154    337072
CAN      2005          166800    175376    342176
CAN      2006          172373    182238    354611
CAN      2007          179526    188337    367863
CAN      2008          184131    193754    377885
CAN      2009          185414    195442    380856
CAN      2010          183748    193465    377213
CAN      2011          184049    193587    377636
CAN      2012          185423    196446    381869
CAN      2013          185140    195183    380323
CAN      2014          187373    196727    384100
CAN      2015          186447    195945    382392
CAN      2016          186738    196364    383102
CAN      2017          183602    193706    377308
CAN      2018          182603    192014    374617
CAN      2019          181761    191217    372978
CAN      2020          175314    185487    360801
CAN      2021          180150    190005    370155
CAN      2022          170790    180889    351679
CAN      2023          171537    179946    351483
CHE      1871           37829     39804     77633
CHE      1872           39061     41268     80329
CHE      1873           39198     41374     80572
CHE      1874           40592     42459     83051
CHE      1875           42942     44637     87579
CHE      1876           44042     46744     90786
CHE      1877           43252     45992     89244
CHE      1878           42940     44893     87833
CHE      1879           41998     44182     86180
CHE      1880           40979     43186     84165
CHE      1881           41613     43529     85142
CHE      1882           40249     42440     82689
CHE      1883           39852     42122     81974
CHE      1884           39725     41846     81571
CHE      1885           39265     41084     80349
CHE      1886           39619     41144     80763
CHE      1887           39783     41504     81287
CHE      1888           39532     41566     81098
CHE      1889           39720     41456     81176
CHE      1890           38454     40094     78548
CHE      1891           40868     42728     83596
CHE      1892           40665     42460     83125
CHE      1893           41481     43416     84897
CHE      1894           41224     42918     84142
CHE      1895           41154     43819     84973
CHE      1896           43238     45190     88428
CHE      1897           44070     46008     90078
CHE      1898           45234     46559     91793
CHE      1899           46190     48282     94472
CHE      1900           46093     48223     94316
CHE      1901           47709     49319     97028
CHE      1902           47014     49467     96481
CHE      1903           45988     47836     93824
CHE      1904           46394     48473     94867
CHE      1905           46326     48327     94653
CHE      1906           46658     48937     95595
CHE      1907           46063     48445     94508
CHE      1908           47084     49161     96245
CHE      1909           46145     47967     94112
CHE      1910           45593     47921     93514
CHE      1911           44762     46558     91320
CHE      1912           44865     47331     92196
CHE      1913           43752     46005     89757
CHE      1914           42372     44958     87330
CHE      1915           36978     38567     75545
CHE      1916           35803     37857     73660
CHE      1917           35269     36796     72065
CHE      1918           35354     37304     72658
CHE      1919           35279     36846     72125
CHE      1920           39322     41868     81190
CHE      1921           39456     41352     80808
CHE      1922           37168     39122     76290
CHE      1923           36774     38777     75551
CHE      1924           36102     37406     73508
CHE      1925           35450     37120     72570
CHE      1926           35269     36849     72118
CHE      1927           33694     35839     69533
CHE      1928           34005     35589     69594
CHE      1929           33891     35115     69006
CHE      1930           33989     35866     69855
CHE      1931           33298     34951     68249
CHE      1932           33435     35215     68650
CHE      1933           33195     34314     67509
CHE      1934           32686     34591     67277
CHE      1935           32137     34241     66378
CHE      1936           31747     33219     64966
CHE      1937           30529     31951     62480
CHE      1938           31083     32707     63790
CHE      1939           31086     32751     63837
CHE      1940           31483     32632     64115
CHE      1941           35216     36710     71926
CHE      1942           38511     40364     78875
CHE      1943           40609     42440     83049
CHE      1944           41632     43995     85627
CHE      1945           42862     45660     88522
CHE      1946           43344     45782     89126
CHE      1947           42549     45175     87724
CHE      1948           42806     44957     87763
CHE      1949           41475     43833     85308
CHE      1950           41115     43661     84776
CHE      1951           39694     42209     81903
CHE      1952           40649     42900     83549
CHE      1953           40458     42571     83029
CHE      1954           41027     42714     83741
CHE      1955           41523     43808     85331
CHE      1956           42663     45249     87912
CHE      1957           44237     46586     90823
CHE      1958           44490     46931     91421
CHE      1959           45248     47725     92973
CHE      1960           46185     48187     94372
CHE      1961           48581     50657     99238
CHE      1962           50870     53452    104322
CHE      1963           53746     56247    109993
CHE      1964           55034     57856    112890
CHE      1965           54187     57648    111835
CHE      1966           53323     56415    109738
CHE      1967           52402     55015    107417
CHE      1968           51191     53939    105130
CHE      1969           49990     52530    102520
CHE      1970           47981     51235     99216
CHE      1971           46850     49411     96261
CHE      1972           44163     47179     91342
CHE      1973           42438     45080     87518
CHE      1974           41021     43486     84507
CHE      1975           38055     40409     78464
CHE      1976           36499     37700     74199
CHE      1977           35300     37529     72829
CHE      1978           34648     36727     71375
CHE      1979           35134     36852     71986
CHE      1980           35944     37717     73661
CHE      1981           35682     38065     73747
CHE      1982           36589     38327     74916
CHE      1983           35686     37973     73659
CHE      1984           36177     38533     74710
CHE      1985           36719     37965     74684
CHE      1986           37416     38904     76320
CHE      1987           37318     39187     76505
CHE      1988           39120     41225     80345
CHE      1989           39502     41678     81180
CHE      1990           41025     42914     83939
CHE      1991           41876     44324     86200
CHE      1992           42492     44418     86910
CHE      1993           40730     43032     83762
CHE      1994           40386     42594     82980
CHE      1995           40113     42090     82203
CHE      1996           40299     42708     83007
CHE      1997           39284     41300     80584
CHE      1998           38521     40428     78949
CHE      1999           38152     40256     78408
CHE      2000           38056     40402     78458
CHE      2001           35172     37123     72295
CHE      2002           35054     37318     72372
CHE      2003           34946     36902     71848
CHE      2004           35742     37340     73082
