Births (1-year) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName  Year          Female      Male     Total
GBR_NP   2002          325622    343155    668777
GBR_NP   2003          338971    356578    695549
GBR_NP   2004          348410    367586    715996
GBR_NP   2005          352525    370024    722549
GBR_NP   2006          365651    382912    748563
GBR_NP   2007          376931    397574    774505
GBR_NP   2008          386262    405861    792123
GBR_NP   2009          385105    405099    790204
GBR_NP   2010          393516    413755    807271
GBR_NP   2011          393866    413910    807776
GBR_NP   2012          395912    417058    812970
GBR_NP   2013          379204    399599    778803
GBR_NP   2014          379583    400023    779606
GBR_NP   2015          378182    398983    777165
GBR_NP   2016          377128    397707    774835
GBR_NP   2017          367858    387184    755042
GBR_NP   2018          355611    375451    731062
GBR_NP   2019          346220    366460    712680
GBR_NP   2020          332346    349214    681560
GBR_NP   2021          338681    356004    694685
GBR_NP   2022          327763    345512    673275
GBR_SCO  1855           45545     47804     93349
GBR_SCO  1856           49582     52239    101821
GBR_SCO  1857           50257     53158    103415
GBR_SCO  1858           50324     53694    104018
GBR_SCO  1859           51915     54628    106543
GBR_SCO  1860           51220     54409    105629
GBR_SCO  1861           52403     54606    107009
GBR_SCO  1862           51812     55257    107069
GBR_SCO  1863           53115     56226    109341
GBR_SCO  1864           54959     57374    112333
GBR_SCO  1865           54850     58220    113070
GBR_SCO  1866           55307     58360    113667
GBR_SCO  1867           55527     58517    114044
GBR_SCO  1868           56292     59222    115514
