Age-standardized death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Female_1976      Male_1976      Total_1976      Female_2013      Male_2013      Total_2013
AUS      1921-1924        0.013786        0.017152        0.015518        0.021820        0.026662        0.024275
AUS      1925-1929        0.013448        0.016896        0.015200        0.021525        0.026654        0.024082
AUS      1930-1934        0.012408        0.015619        0.014005        0.020187        0.025024        0.022560
AUS      1935-1939        0.012492        0.015997        0.014215        0.020590        0.025823        0.023115
AUS      1940-1944        0.012331        0.016036        0.014112        0.020614        0.026260        0.023274
AUS      1945-1949        0.011469        0.015085        0.013343        0.019562        0.025092        0.022361
AUS      1950-1954        0.010880        0.015023        0.012986        0.018879        0.025090        0.021955
AUS      1955-1959        0.009697        0.014775        0.011994        0.017075        0.024838        0.020471
AUS      1960-1964        0.009148        0.014433        0.011523        0.016141        0.024318        0.019668
AUS      1965-1969        0.009192        0.014872        0.011712        0.016169        0.025028        0.019913
AUS      1970-1974        0.008657        0.014223        0.011093        0.015323        0.024129        0.018972
AUS      1975-1979        0.007403        0.012609        0.009651        0.013191        0.021499        0.016573
AUS      1980-1984        0.006622        0.011402        0.008671        0.011927        0.019736        0.015076
AUS      1985-1989        0.006273        0.010491        0.008089        0.011438        0.018441        0.014269
AUS      1990-1994        0.005622        0.009261        0.007193        0.010299        0.016463        0.012801
AUS      1995-1999        0.005157        0.008322        0.006533        0.009536        0.014953        0.011759
AUS      2000-2004        0.004651        0.007275        0.005802        0.008650        0.013215        0.010544
AUS      2005-2009        0.004242        0.006470        0.005236        0.007937        0.011797        0.009577
AUS      2010-2014        0.003970        0.005866        0.004833        0.007443        0.010723        0.008877
AUS      2015-2019        0.003746        0.005500        0.004556        0.007010        0.009969        0.008335
AUS      2020-2021        0.003497        0.005136        0.004261        0.006513        0.009265        0.007763
AUT      1947-1949        0.013618        0.017349        0.015230        0.022534        0.027613        0.024655
AUT      1950-1954        0.012365        0.016685        0.014271        0.021425        0.027573        0.024074
AUT      1955-1959        0.011276        0.016264        0.013313        0.019851        0.027062        0.022699
AUT      1960-1964        0.010379        0.015641        0.012530        0.018571        0.026402        0.021650
AUT      1965-1969        0.010122        0.015538        0.012323        0.018323        0.026374        0.021457
AUT      1970-1974        0.009637        0.015214        0.011868        0.017520        0.025918        0.020708
AUT      1975-1979        0.008950        0.014420        0.011104        0.016521        0.024905        0.019632
AUT      1980-1984        0.008209        0.013489        0.010285        0.015244        0.023311        0.018221
AUT      1985-1989        0.007292        0.012024        0.009139        0.013658        0.021010        0.016328
AUT      1990-1994        0.006551        0.010914        0.008279        0.012284        0.019151        0.014805
AUT      1995-1999        0.005909        0.009922        0.007519        0.011165        0.017582        0.013550
AUT      2000-2004        0.005338        0.008678        0.006716        0.010087        0.015436        0.012142
AUT      2005-2009        0.004816        0.007711        0.006059        0.009113        0.013853        0.011004
AUT      2010-2014        0.004435        0.007037        0.005569        0.008380        0.012650        0.010140
AUT      2015-2019        0.004253        0.006585        0.005288        0.008067        0.011956        0.009716
AUT      2020-2023        0.004288        0.006740        0.005376        0.008201        0.012331        0.009966
BEL      1841-1844        0.026668        0.027151        0.026861        0.035342        0.036397        0.035784
BEL      1845-1849        0.030559        0.032861        0.031580        0.040643        0.044349        0.042279
BEL      1850-1854        0.026728        0.027718        0.027156        0.036396        0.038323        0.037229
BEL      1855-1859        0.027902        0.029332        0.028520        0.037772        0.040001        0.038699
BEL      1860-1864        0.025464        0.027095        0.026204        0.034778        0.037156        0.035808
BEL      1865-1869        0.027107        0.029090        0.028085        0.036401        0.038775        0.037542
BEL      1870-1874        0.026144        0.029057        0.027746        0.035556        0.039324        0.037624
BEL      1875-1879        0.024693        0.027975        0.026285        0.034858        0.039123        0.036881
BEL      1880-1884        0.023782        0.027632        0.025613        0.033422        0.038434        0.035754
BEL      1885-1889        0.023319        0.027446        0.025263        0.032999        0.038611        0.035569
BEL      1890-1894        0.024260        0.028520        0.026287        0.034757        0.040289        0.037323
BEL      1895-1899        0.021864        0.025939        0.023788        0.031559        0.037125        0.034114
BEL      1900-1904        0.021286        0.025422        0.023147        0.031115        0.036843        0.033603
BEL      1905-1909        0.020824        0.024935        0.022593        0.031120        0.036946        0.033530
BEL      1910-1914        0.020134        0.024071        0.021961        0.030435        0.036036        0.032952
BEL      1915-1919        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
BEL      1920-1924        0.017787        0.020938        0.019202        0.027343        0.031774        0.029250
BEL      1925-1929        0.017474        0.020989        0.019052        0.027326        0.032614        0.029591
BEL      1930-1934        0.016050        0.019642        0.017653        0.025287        0.030510        0.027515
