Life tables (cohort 5x5), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.24354  0.20832  0.31  100000   20832   85538  4595693  45.96
CHE      1876-1879      1-4      0.02189  0.08294  1.45   79168    6566  299936  4510155  56.97
CHE      1876-1879      5-9      0.00526  0.02588  2.09   72602    1879  357545  4210219  57.99
CHE      1876-1879     10-14     0.00316  0.01569  2.55   70723    1110  350899  3852674  54.48
CHE      1876-1879     15-19     0.00468  0.02315  2.68   69614    1612  344321  3501776  50.30
CHE      1876-1879     20-24     0.00561  0.02765  2.50   68002    1880  335318  3157455  46.43
CHE      1876-1879     25-29     0.00620  0.03051  2.51   66122    2018  325594  2822137  42.68
CHE      1876-1879     30-34     0.00616  0.03031  2.52   64104    1943  315694  2496543  38.94
CHE      1876-1879     35-39     0.00701  0.03446  2.65   62161    2142  305780  2180849  35.08
CHE      1876-1879     40-44     0.00851  0.04163  2.41   60019    2499  293619  1875069  31.24
CHE      1876-1879     45-49     0.00911  0.04459  2.63   57520    2565  281518  1581450  27.49
CHE      1876-1879     50-54     0.01274  0.06183  2.61   54956    3398  266656  1299932  23.65
CHE      1876-1879     55-59     0.01666  0.08007  2.59   51558    4128  247835  1033277  20.04
CHE      1876-1879     60-64     0.02359  0.11159  2.58   47429    5292  224366   785442  16.56
CHE      1876-1879     65-69     0.03593  0.16564  2.64   42137    6979  194239   561076  13.32
CHE      1876-1879     70-74     0.05503  0.24249  2.55   35158    8525  154921   366837  10.43
CHE      1876-1879     75-79     0.08581  0.35378  2.52   26632    9422  109806   211917   7.96
CHE      1876-1879     80-84     0.13101  0.49030  2.44   17210    8438   64408   102111   5.93
CHE      1876-1879     85-89     0.20585  0.65744  2.25    8772    5767   28016    37703   4.30
CHE      1876-1879     90-94     0.29077  0.78399  2.06    3005    2356    8102     9687   3.22
CHE      1876-1879     95-99     0.39456  0.87674  1.83     649     569    1442     1585   2.44
CHE      1876-1879    100-104    0.55308  0.93286  1.45      80      75     135      143   1.79
CHE      1876-1879    105-109    0.67010  1.00000  1.49       5       5       8        8   1.49
CHE      1876-1879    110+             .        .     .       0       0       0        0      .
CHE      1880-1884        0      0.19792  0.17401  0.31  100000   17401   87919  4947478  49.47
CHE      1880-1884      1-4      0.01785  0.06822  1.39   82599    5635  315672  4859559  58.83
CHE      1880-1884      5-9      0.00505  0.02488  2.24   76964    1915  379531  4543887  59.04
CHE      1880-1884     10-14     0.00297  0.01473  2.42   75049    1105  372397  4164356  55.49
CHE      1880-1884     15-19     0.00429  0.02123  2.72   73943    1570  366141  3791959  51.28
CHE      1880-1884     20-24     0.00564  0.02780  2.56   72373    2012  356965  3425818  47.34
CHE      1880-1884     25-29     0.00566  0.02791  2.50   70361    1964  346889  3068853  43.62
CHE      1880-1884     30-34     0.00599  0.02954  2.64   68397    2021  337217  2721964  39.80
CHE      1880-1884     35-39     0.00755  0.03701  2.35   66377    2457  325382  2384746  35.93
CHE      1880-1884     40-44     0.00664  0.03266  2.55   63920    2088  314492  2059364  32.22
CHE      1880-1884     45-49     0.00865  0.04238  2.61   61832    2620  302895  1744872  28.22
CHE      1880-1884     50-54     0.01169  0.05684  2.59   59212    3366  287961  1441977  24.35
CHE      1880-1884     55-59     0.01568  0.07554  2.59   55846    4219  269076  1154016  20.66
CHE      1880-1884     60-64     0.02243  0.10645  2.62   51628    5496  245046   884940  17.14
CHE      1880-1884     65-69     0.03303  0.15299  2.59   46132    7058  213662   639894  13.87
CHE      1880-1884     70-74     0.05005  0.22323  2.58   39074    8722  174269   426232  10.91
CHE      1880-1884     75-79     0.07951  0.33255  2.54   30352   10093  126952   251963   8.30
CHE      1880-1884     80-84     0.12618  0.47642  2.43   20258    9651   76490   125010   6.17
CHE      1880-1884     85-89     0.19013  0.62678  2.28   10607    6648   34965    48520   4.57
CHE      1880-1884     90-94     0.27034  0.75421  2.07    3959    2986   11044    13554   3.42
CHE      1880-1884     95-99     0.36946  0.86083  1.90     973     838    2267     2510   2.58
CHE      1880-1884    100-104    0.55780  0.94821  1.52     135     128     230      243   1.80
CHE      1880-1884    105-109    0.50586  0.93103  1.61       7       7      13       13   1.86
CHE      1880-1884    110+       2.98196  1.00000  0.34       0       0       0        0   0.34
CHE      1885-1889        0      0.18259  0.16205  0.31  100000   16205   88750  5122800  51.23
CHE      1885-1889      1-4      0.01698  0.06506  1.42   83795    5452  321122  5034050  60.08
CHE      1885-1889      5-9      0.00462  0.02277  2.08   78343    1784  386506  4712928  60.16
CHE      1885-1889     10-14     0.00258  0.01280  2.51   76559     980  380358  4326422  56.51
CHE      1885-1889     15-19     0.00445  0.02200  2.71   75579    1663  374083  3946063  52.21
CHE      1885-1889     20-24     0.00532  0.02627  2.52   73916    1941  364764  3571980  48.33
CHE      1885-1889     25-29     0.00568  0.02802  2.69   71974    2017  355207  3207216  44.56
CHE      1885-1889     30-34     0.00753  0.03689  2.31   69958    2581  342852  2852010  40.77
CHE      1885-1889     35-39     0.00526  0.02596  2.54   67377    1749  332583  2509157  37.24
CHE      1885-1889     40-44     0.00615  0.03030  2.59   65627    1988  323345  2176574  33.17
CHE      1885-1889     45-49     0.00767  0.03763  2.58   63639    2395  312389  1853229  29.12
CHE      1885-1889     50-54     0.01026  0.05006  2.59   61245    3066  298830  1540840  25.16
CHE      1885-1889     55-59     0.01425  0.06893  2.63   58178    4010  281392  1242011  21.35
CHE      1885-1889     60-64     0.02018  0.09624  2.60   54168    5213  258354   960618  17.73
CHE      1885-1889     65-69     0.03078  0.14340  2.62   48955    7020  228058   702264  14.35
CHE      1885-1889     70-74     0.04688  0.21076  2.61   41935    8838  188534   474206  11.31
CHE      1885-1889     75-79     0.07576  0.31951  2.55   33097   10575  139577   285672   8.63
CHE      1885-1889     80-84     0.11834  0.45416  2.44   22522   10229   86437   146094   6.49
CHE      1885-1889     85-89     0.17443  0.59212  2.29   12294    7279   41732    59658   4.85
CHE      1885-1889     90-94     0.25641  0.74016  2.14    5014    3711   14474    17925   3.57
CHE      1885-1889     95-99     0.36251  0.85650  1.92    1303    1116    3078     3451   2.65
CHE      1885-1889    100-104    0.49378  0.93289  1.67     187     174     353      373   1.99
CHE      1885-1889    105-109    0.62945  0.98039  1.49      13      12      20       20   1.56
CHE      1885-1889    110+       2.99146  1.00000  0.33       0       0       0        0   0.33
CHE      1890-1894        0      0.17329  0.15468  0.31  100000   15468   89260  5354815  53.55
CHE      1890-1894      1-4      0.01452  0.05591  1.35   84532    4726  325586  5265554  62.29
CHE      1890-1894      5-9      0.00374  0.01848  2.19   79806    1475  394878  4939968  61.90
CHE      1890-1894     10-14     0.00246  0.01223  2.54   78331     958  389300  4545090  58.02
CHE      1890-1894     15-19     0.00393  0.01948  2.72   77373    1507  383422  4155790  53.71
CHE      1890-1894     20-24     0.00518  0.02558  2.72   75865    1940  374904  3772368  49.72
CHE      1890-1894     25-29     0.00686  0.03367  2.27   73925    2489  362843  3397464  45.96
CHE      1890-1894     30-34     0.00420  0.02080  2.47   71436    1486  353426  3034621  42.48
CHE      1890-1894     35-39     0.00472  0.02331  2.58   69950    1631  345806  2681195  38.33
CHE      1890-1894     40-44     0.00546  0.02694  2.56   68320    1840  337112  2335389  34.18
CHE      1890-1894     45-49     0.00670  0.03295  2.59   66479    2191  327114  1998276  30.06
CHE      1890-1894     50-54     0.00924  0.04523  2.63   64289    2908  314544  1671162  25.99
CHE      1890-1894     55-59     0.01282  0.06221  2.62   61381    3819  297824  1356618  22.10
CHE      1890-1894     60-64     0.01853  0.08876  2.62   57562    5109  275656  1058793  18.39
CHE      1890-1894     65-69     0.02808  0.13164  2.63   52453    6905  245929   783137  14.93
CHE      1890-1894     70-74     0.04454  0.20124  2.60   45548    9166  205785   537208  11.79
