Exposure to risk (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1960-1969     25-29          3496525.85      3744304.42      7240830.26
AUS      1960-1969     30-34          3453892.53      3727191.35      7181083.88
AUS      1960-1969     35-39          3660067.43      3924247.17      7584314.60
AUS      1960-1969     40-44          3620564.54      3789014.14      7409578.68
AUS      1960-1969     45-49          3348803.34      3441093.93      6789897.27
AUS      1960-1969     50-54          2998400.74      3105403.97      6103804.70
AUS      1960-1969     55-59          2553895.71      2640045.51      5193941.22
AUS      1960-1969     60-64          2183749.95      2081848.49      4265598.44
AUS      1960-1969     65-69          1910002.67      1581570.78      3491573.45
AUS      1960-1969     70-74          1565693.98      1165236.29      2730930.28
AUS      1960-1969     75-79          1094663.50       750176.22      1844839.73
AUS      1960-1969     80-84           644055.60       385772.37      1029827.97
AUS      1960-1969     85-89           268758.55       137868.66       406627.21
AUS      1960-1969     90-94            76939.91        33849.99       110789.90
AUS      1960-1969     95-99            12886.56         4862.93        17749.49
AUS      1960-1969    100-104            1078.54          366.71         1445.25
AUS      1960-1969    105-109              40.56            9.60           50.15
AUS      1960-1969    110+                  0.72            0.00            0.72
AUS      1970-1979        0           1176728.63      1233559.55      2410288.19
AUS      1970-1979      1-4           4851067.88      5072029.72      9923097.59
AUS      1970-1979      5-9           6181297.05      6485293.90     12666590.95
AUS      1970-1979     10-14          6142501.87      6471112.37     12613614.23
AUS      1970-1979     15-19          5980213.19      6220428.94     12200642.14
AUS      1970-1979     20-24          5717904.39      5897446.69     11615351.08
AUS      1970-1979     25-29          5376108.78      5604270.18     10980378.95
AUS      1970-1979     30-34          4594710.01      4867873.47      9462583.48
AUS      1970-1979     35-39          3969409.95      4195607.72      8165017.66
AUS      1970-1979     40-44          3761344.54      4006666.93      7768011.47
AUS      1970-1979     45-49          3819541.11      4041016.52      7860557.63
AUS      1970-1979     50-54          3647388.02      3730719.87      7378107.89
AUS      1970-1979     55-59          3260671.24      3193869.33      6454540.57
AUS      1970-1979     60-64          2885050.41      2687456.20      5572506.61
AUS      1970-1979     65-69          2374317.45      2094016.90      4468334.35
AUS      1970-1979     70-74          1851078.92      1433965.48      3285044.40
AUS      1970-1979     75-79          1351275.13       849186.00      2200461.13
AUS      1970-1979     80-84           877681.27       450247.86      1327929.13
AUS      1970-1979     85-89           415835.12       183237.77       599072.89
AUS      1970-1979     90-94           127728.61        45949.55       173678.16
AUS      1970-1979     95-99            22780.38         6634.86        29415.24
AUS      1970-1979    100-104            1930.62          529.78         2460.41
AUS      1970-1979    105-109              61.66           17.42           79.07
AUS      1970-1979    110+                  0.34            0.00            0.34
AUS      1980-1989        0           1164228.59      1223968.18      2388196.77
AUS      1980-1989      1-4           4632862.48      4863949.61      9496812.09
AUS      1980-1989      5-9           5961638.67      6264190.50     12225829.17
AUS      1980-1989     10-14          6400074.24      6708781.68     13108855.92
AUS      1980-1989     15-19          6520530.50      6803790.27     13324320.78
AUS      1980-1989     20-24          6535937.26      6741126.16     13277063.41
AUS      1980-1989     25-29          6499339.75      6629438.74     13128778.49
AUS      1980-1989     30-34          6268961.78      6353730.33     12622692.11
AUS      1980-1989     35-39          5745778.89      5911069.73     11656848.62
AUS      1980-1989     40-44          4782128.59      5016980.88      9799109.46
AUS      1980-1989     45-49          3971959.72      4189840.87      8161800.59
AUS      1980-1989     50-54          3716533.26      3890176.64      7606709.90
AUS      1980-1989     55-59          3696375.25      3765970.48      7462345.73
AUS      1980-1989     60-64          3501469.10      3311540.82      6813009.92
AUS      1980-1989     65-69          3024098.59      2648208.11      5672306.70
AUS      1980-1989     70-74          2493079.96      1971947.81      4465027.77
AUS      1980-1989     75-79          1808978.97      1246000.35      3054979.32
AUS      1980-1989     80-84          1141879.92       619105.35      1760985.27
AUS      1980-1989     85-89           587130.38       233936.09       821066.46
AUS      1980-1989     90-94           217813.22        65672.73       283485.95
AUS      1980-1989     95-99            47197.66        11613.79        58811.45
AUS      1980-1989    100-104            5091.84          984.31         6076.15
AUS      1980-1989    105-109             281.18           49.05          330.24
AUS      1980-1989    110+                  4.41            0.69            5.10
AUS      1990-1999        0           1244773.40      1311954.96      2556728.37
AUS      1990-1999      1-4           5009653.52      5277473.04     10287126.56
AUS      1990-1999      5-9           6298247.85      6624523.46     12922771.31
AUS      1990-1999     10-14          6229934.32      6556730.19     12786664.51
AUS      1990-1999     15-19          6357202.12      6675945.77     13033147.89
AUS      1990-1999     20-24          6815858.75      7009521.23     13825379.98
AUS      1990-1999     25-29          7014887.52      7043846.00     14058733.52
AUS      1990-1999     30-34          7165049.84      7147799.89     14312849.73
AUS      1990-1999     35-39          7057930.81      7029086.02     14087016.83
AUS      1990-1999     40-44          6638898.67      6670551.64     13309450.31
AUS      1990-1999     45-49          5886501.31      6040248.84     11926750.15
AUS      1990-1999     50-54          4794561.30      4994674.43      9789235.72
AUS      1990-1999     55-59          3948939.32      4058611.68      8007551.00
AUS      1990-1999     60-64          3648208.41      3628584.79      7276793.19
