Life tables (cohort 5x5), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.21727  0.18909  0.31  100000   18909   87030  4801972  48.02
CHE      1876-1879      1-4      0.02176  0.08246  1.44   81091    6686  307264  4714942  58.14
CHE      1876-1879      5-9      0.00529  0.02607  2.10   74404    1940  366397  4407678  59.24
CHE      1876-1879     10-14     0.00335  0.01662  2.62   72465    1204  359459  4041280  55.77
CHE      1876-1879     15-19     0.00508  0.02507  2.61   71261    1787  352028  3681822  51.67
CHE      1876-1879     20-24     0.00564  0.02780  2.53   69474    1931  342606  3329793  47.93
CHE      1876-1879     25-29     0.00642  0.03159  2.52   67542    2134  332409  2987188  44.23
CHE      1876-1879     30-34     0.00616  0.03031  2.45   65408    1983  321978  2654779  40.59
CHE      1876-1879     35-39     0.00648  0.03191  2.64   63426    2024  312345  2332801  36.78
CHE      1876-1879     40-44     0.00751  0.03680  2.37   61402    2260  301074  2020456  32.91
CHE      1876-1879     45-49     0.00737  0.03619  2.62   59142    2141  290622  1719383  29.07
CHE      1876-1879     50-54     0.01017  0.04962  2.60   57002    2828  278232  1428760  25.07
CHE      1876-1879     55-59     0.01355  0.06560  2.59   54174    3554  262312  1150529  21.24
CHE      1876-1879     60-64     0.01970  0.09406  2.60   50620    4761  241649   888217  17.55
CHE      1876-1879     65-69     0.03109  0.14494  2.67   45858    6647  213796   646568  14.10
CHE      1876-1879     70-74     0.04858  0.21727  2.57   39212    8520  175362   432772  11.04
CHE      1876-1879     75-79     0.07771  0.32641  2.55   30692   10018  128919   257409   8.39
CHE      1876-1879     80-84     0.12184  0.46548  2.47   20674    9623   78985   128490   6.22
CHE      1876-1879     85-89     0.19515  0.63838  2.29   11051    7054   36149    49505   4.48
CHE      1876-1879     90-94     0.27722  0.76746  2.09    3996    3067   11063    13356   3.34
CHE      1876-1879     95-99     0.38918  0.87038  1.82     929     809    2078     2293   2.47
CHE      1876-1879    100-104    0.55218  0.92523  1.41     120     111     202      215   1.78
CHE      1876-1879    105-109    0.70538  1.00000  1.42       9       9      13       13   1.42
CHE      1876-1879    110+             .        .    .       0       0       0        0      .
CHE      1880-1884        0      0.17647  0.15742  0.31  100000   15742   89203  5147288  51.47
CHE      1880-1884      1-4      0.01782  0.06812  1.38   84258    5739  322018  5058086  60.03
CHE      1880-1884      5-9      0.00498  0.02456  2.24   78519    1928  387277  4736068  60.32
CHE      1880-1884     10-14     0.00321  0.01590  2.48   76591    1218  379887  4348791  56.78
CHE      1880-1884     15-19     0.00464  0.02294  2.67   75373    1729  372835  3968904  52.66
CHE      1880-1884     20-24     0.00586  0.02891  2.59   73644    2129  363097  3596069  48.83
CHE      1880-1884     25-29     0.00587  0.02890  2.48   71515    2067  352368  3232973  45.21
CHE      1880-1884     30-34     0.00604  0.02978  2.61   69448    2068  342291  2880605  41.48
CHE      1880-1884     35-39     0.00713  0.03497  2.38   67380    2356  330736  2538314  37.67
CHE      1880-1884     40-44     0.00592  0.02916  2.50   65023    1896  320371  2207578  33.95
CHE      1880-1884     45-49     0.00706  0.03473  2.59   63127    2192  310352  1887207  29.90
CHE      1880-1884     50-54     0.00940  0.04596  2.57   60935    2801  297871  1576855  25.88
CHE      1880-1884     55-59     0.01249  0.06062  2.58   58135    3524  282151  1278984  22.00
CHE      1880-1884     60-64     0.01837  0.08806  2.67   54611    4809  261850   996833  18.25
CHE      1880-1884     65-69     0.02819  0.13203  2.61   49802    6575  233262   734984  14.76
CHE      1880-1884     70-74     0.04338  0.19655  2.61   43226    8496  195865   501722  11.61
CHE      1880-1884     75-79     0.07063  0.30130  2.56   34730   10464  148157   305857   8.81
CHE      1880-1884     80-84     0.11626  0.44899  2.47   24266   10895   93714   157699   6.50
CHE      1880-1884     85-89     0.17936  0.60584  2.32   13371    8101   45164    63985   4.79
CHE      1880-1884     90-94     0.25630  0.73491  2.10    5270    3873   15112    18821   3.57
CHE      1880-1884     95-99     0.35850  0.85416  1.94    1397    1193    3329     3709   2.66
CHE      1880-1884    100-104    0.53848  0.94601  1.57     204     193     358      381   1.87
CHE      1880-1884    105-109    0.44965  0.91304  1.75      11      10      22       23   2.06
CHE      1880-1884    110+       2.98196  1.00000  0.34       1       1       0        0   0.34
CHE      1885-1889        0      0.16366  0.14714  0.31  100000   14714   89908  5345865  53.46
CHE      1885-1889      1-4      0.01672  0.06412  1.41   85286    5469  327005  5255958  61.63
CHE      1885-1889      5-9      0.00456  0.02249  2.08   79817    1795  393845  4928952  61.75
CHE      1885-1889     10-14     0.00281  0.01394  2.58   78022    1088  387480  4535107  58.13
CHE      1885-1889     15-19     0.00488  0.02411  2.62   76934    1855  380256  4147627  53.91
CHE      1885-1889     20-24     0.00536  0.02643  2.52   75079    1984  370475  3767371  50.18
CHE      1885-1889     25-29     0.00548  0.02706  2.65   73095    1978  360828  3396896  46.47
CHE      1885-1889     30-34     0.00703  0.03448  2.35   71118    2452  349096  3036068  42.69
CHE      1885-1889     35-39     0.00492  0.02430  2.52   68665    1668  339196  2686972  39.13
