Life tables (cohort 5x5), Males 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.26957  0.22673  0.30  100000   22673   84108  4392817  43.93
CHE      1876-1879      1-4      0.02202  0.08342  1.46   77327    6451  292916  4308709  55.72
CHE      1876-1879      5-9      0.00522  0.02570  2.08   70876    1821  349066  4015793  56.66
CHE      1876-1879     10-14     0.00297  0.01475  2.47   69055    1019  342700  3666727  53.10
CHE      1876-1879     15-19     0.00428  0.02119  2.76   68036    1442  336945  3324027  48.86
CHE      1876-1879     20-24     0.00557  0.02749  2.47   66594    1830  328347  2987082  44.85
CHE      1876-1879     25-29     0.00597  0.02941  2.51   64764    1905  319083  2658735  41.05
CHE      1876-1879     30-34     0.00615  0.03032  2.59   62859    1906  309696  2339652  37.22
CHE      1876-1879     35-39     0.00755  0.03707  2.67   60954    2260  299503  2029956  33.30
CHE      1876-1879     40-44     0.00957  0.04670  2.44   58694    2741  286447  1730453  29.48
CHE      1876-1879     45-49     0.01098  0.05353  2.63   55953    2995  272669  1444006  25.81
CHE      1876-1879     50-54     0.01557  0.07505  2.61   52958    3974  255304  1171337  22.12
CHE      1876-1879     55-59     0.02017  0.09617  2.59   48983    4711  233546   916033  18.70
CHE      1876-1879     60-64     0.02817  0.13183  2.58   44273    5837  207219   682487  15.42
CHE      1876-1879     65-69     0.04199  0.19089  2.62   38436    7337  174719   475268  12.37
CHE      1876-1879     70-74     0.06357  0.27476  2.53   31099    8545  134420   300549   9.66
CHE      1876-1879     75-79     0.09747  0.39150  2.49   22554    8830   90589   166129   7.37
CHE      1876-1879     80-84     0.14573  0.52806  2.39   13724    7247   49730    75540   5.50
CHE      1876-1879     85-89     0.22557  0.69028  2.19    6477    4471   19821    25810   3.98
CHE      1876-1879     90-94     0.32036  0.81723  2.00    2006    1639    5118     5989   2.99
CHE      1876-1879     95-99     0.40866  0.89302  1.85     367     327     801      872   2.38
CHE      1876-1879    100-104    0.55580  0.95652  1.57      39      38      68       71   1.80
CHE      1876-1879    105-109    0.52902  1.00000  1.89       2       2       3        3   1.89
CHE      1876-1879    110+             .        .    .       0       0       0        0      .
CHE      1880-1884        0      0.21896  0.18983  0.30  100000   18983   86695  4747372  47.47
CHE      1880-1884      1-4      0.01788  0.06833  1.39   81017    5536  309623  4660678  57.53
CHE      1880-1884      5-9      0.00511  0.02520  2.24   75481    1902  372147  4351055  57.64
CHE      1880-1884     10-14     0.00273  0.01356  2.36   73579     998  365256  3978908  54.08
CHE      1880-1884     15-19     0.00394  0.01953  2.78   72581    1418  359762  3613652  49.79
CHE      1880-1884     20-24     0.00541  0.02671  2.53   71163    1900  351123  3253890  45.72
CHE      1880-1884     25-29     0.00546  0.02692  2.51   69262    1865  341673  2902767  41.91
CHE      1880-1884     30-34     0.00594  0.02931  2.67   67398    1976  332392  2561094  38.00
CHE      1880-1884     35-39     0.00800  0.03914  2.33   65422    2561  320262  2228702  34.07
CHE      1880-1884     40-44     0.00741  0.03638  2.60   62861    2287  308821  1908440  30.36
CHE      1880-1884     45-49     0.01036  0.05057  2.62   60575    3063  295592  1599619  26.41
CHE      1880-1884     50-54     0.01425  0.06890  2.61   57511    3962  278096  1304026  22.67
CHE      1880-1884     55-59     0.01945  0.09291  2.60   53549    4975  255815  1025930  19.16
CHE      1880-1884     60-64     0.02730  0.12803  2.57   48573    6219  227762   770115  15.85
CHE      1880-1884     65-69     0.03900  0.17818  2.58   42355    7547  193507   542352  12.81
CHE      1880-1884     70-74     0.05884  0.25712  2.55   34808    8950  152095   348845  10.02
CHE      1880-1884     75-79     0.09225  0.37535  2.52   25858    9706  105208   196750   7.61
CHE      1880-1884     80-84     0.14232  0.51853  2.38   16152    8376   58851    91542   5.67
CHE      1880-1884     85-89     0.21040  0.66357  2.22    7777    5160   24526    32691   4.20
CHE      1880-1884     90-94     0.30187  0.79395  2.02    2616    2077    6881     8165   3.12
CHE      1880-1884     95-99     0.40106  0.87851  1.80     539     474    1181     1284   2.38
CHE      1880-1884    100-104    0.62881  0.95522  1.36      65      63      99      103   1.57
CHE      1880-1884    105-109    0.89933  1.00000  1.11       3       3       3        3   1.11
CHE      1880-1884    110+             .        .    .       0       0       0        0      .
CHE      1885-1889        0      0.20124  0.17637  0.30  100000   17637   87639  4895421  48.95
CHE      1885-1889      1-4      0.01723  0.06600  1.43   82363    5436  315473  4807783  58.37
CHE      1885-1889      5-9      0.00467  0.02305  2.08   76927    1773  379460  4492310  58.40
CHE      1885-1889     10-14     0.00235  0.01166  2.43   75154     877  373520  4112850  54.73
CHE      1885-1889     15-19     0.00401  0.01987  2.82   74277    1476  368164  3739330  50.34
CHE      1885-1889     20-24     0.00529  0.02610  2.52   72801    1900  359295  3371166  46.31
CHE      1885-1889     25-29     0.00589  0.02904  2.72   70901    2059  349817  3011872  42.48
CHE      1885-1889     30-34     0.00807  0.03950  2.27   68842    2719  336797  2662054  38.67
CHE      1885-1889     35-39     0.00564  0.02780  2.56   66122    1838  326123  2325258  35.17
CHE      1885-1889     40-44     0.00719  0.03534  2.62   64284    2272  316017  1999135  31.10
CHE      1885-1889     45-49     0.00912  0.04463  2.57   62013    2767  303337  1683118  27.14
