Life tables (cohort 1x10), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.21727  0.18909  0.31  100000   18909   87030  4801972  48.02
CHE      1876-1879        1      0.03986  0.03907  0.49   81091    3168   79470  4714942  58.14
CHE      1876-1879        2      0.02023  0.02003  0.50   77923    1561   77149  4635473  59.49
CHE      1876-1879        3      0.01459  0.01448  0.51   76362    1106   75818  4558324  59.69
CHE      1876-1879        4      0.01139  0.01132  0.50   75256     852   74828  4482506  59.56
CHE      1876-1879        5      0.00806  0.00803  0.51   74404     597   74112  4407678  59.24
CHE      1876-1879        6      0.00573  0.00572  0.52   73807     422   73605  4333566  58.71
CHE      1876-1879        7      0.00508  0.00506  0.52   73385     372   73207  4259961  58.05
CHE      1876-1879        8      0.00390  0.00389  0.51   73014     284   72874  4186754  57.34
CHE      1876-1879        9      0.00364  0.00364  0.51   72729     265   72600  4113880  56.56
CHE      1876-1879       10      0.00314  0.00313  0.50   72465     227   72352  4041280  55.77
CHE      1876-1879       11      0.00297  0.00297  0.51   72238     214   72133  3968929  54.94
CHE      1876-1879       12      0.00329  0.00329  0.52   72023     237   71909  3896795  54.10
CHE      1876-1879       13      0.00357  0.00356  0.52   71787     256   71664  3824887  53.28
CHE      1876-1879       14      0.00379  0.00378  0.52   71531     270   71400  3753222  52.47
CHE      1876-1879       15      0.00458  0.00457  0.52   71261     326   71105  3681822  51.67
CHE      1876-1879       16      0.00462  0.00461  0.51   70935     327   70775  3610717  50.90
CHE      1876-1879       17      0.00519  0.00518  0.51   70608     366   70429  3539942  50.14
CHE      1876-1879       18      0.00561  0.00559  0.52   70242     393   70053  3469513  49.39
CHE      1876-1879       19      0.00539  0.00537  0.51   69849     375   69667  3399460  48.67
CHE      1876-1879       20      0.00560  0.00558  0.52   69474     388   69288  3329793  47.93
CHE      1876-1879       21      0.00533  0.00531  0.51   69086     367   68907  3260506  47.19
CHE      1876-1879       22      0.00549  0.00547  0.51   68719     376   68534  3191599  46.44
CHE      1876-1879       23      0.00600  0.00598  0.51   68343     409   68140  3123065  45.70
CHE      1876-1879       24      0.00578  0.00576  0.50   67934     392   67737  3054925  44.97
CHE      1876-1879       25      0.00617  0.00615  0.51   67542     416   67340  2987188  44.23
CHE      1876-1879       26      0.00654  0.00652  0.50   67127     438   66910  2919848  43.50
CHE      1876-1879       27      0.00657  0.00655  0.51   66689     436   66477  2852938  42.78
CHE      1876-1879       28      0.00617  0.00615  0.50   66252     408   66050  2786462  42.06
CHE      1876-1879       29      0.00665  0.00663  0.51   65845     436   65633  2720411  41.32
CHE      1876-1879       30      0.00650  0.00648  0.50   65408     424   65196  2654779  40.59
CHE      1876-1879       31      0.00630  0.00628  0.51   64985     408   64785  2589583  39.85
CHE      1876-1879       32      0.00614  0.00612  0.51   64577     395   64385  2524798  39.10
CHE      1876-1879       33      0.00598  0.00596  0.51   64182     383   63996  2460414  38.34
CHE      1876-1879       34      0.00587  0.00585  0.51   63799     373   63617  2396418  37.56
CHE      1876-1879       35      0.00592  0.00591  0.52   63426     375   63244  2332801  36.78
CHE      1876-1879       36      0.00580  0.00578  0.50   63051     365   62870  2269557  36.00
