Life tables (cohort 5x1), Males 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE        1876           0      0.29090  0.24163  0.30  100000   24163   83064  4305952  43.06
CHE        1876         1-4      0.02274  0.08593  1.42   75837    6516  286539  4222888  55.68
CHE        1876         5-9      0.00567  0.02786  2.03   69320    1931  340868  3936349  56.78
CHE        1876        10-14     0.00261  0.01295  2.60   67389     873  334850  3595481  53.35
CHE        1876        15-19     0.00408  0.02022  2.72   66516    1345  329516  3260632  49.02
CHE        1876        20-24     0.00549  0.02707  2.49   65171    1764  321428  2931115  44.98
CHE        1876        25-29     0.00590  0.02906  2.55   63407    1843  312515  2609687  41.16
CHE        1876        30-34     0.00609  0.02999  2.55   61565    1846  303294  2297172  37.31
CHE        1876        35-39     0.00715  0.03513  2.52   59719    2098  293389  1993878  33.39
CHE        1876        40-44     0.01020  0.04976  2.55   57620    2867  281078  1700489  29.51
CHE        1876        45-49     0.01029  0.05023  2.66   54753    2750  267340  1419410  25.92
CHE        1876        50-54     0.01519  0.07331  2.64   52003    3812  251000  1152071  22.15
CHE        1876        55-59     0.02054  0.09794  2.63   48191    4720  229756   901071  18.70
CHE        1876        60-64     0.02741  0.12861  2.61   43471    5591  204001   671315  15.44
CHE        1876        65-69     0.04199  0.19096  2.63   37880    7234  172280   467314  12.34
CHE        1876        70-74     0.06415  0.27720  2.55   30647    8495  132434   295034   9.63
CHE        1876        75-79     0.09801  0.39457  2.53   22151    8740   89179   162600   7.34
CHE        1876        80-84     0.14627  0.52836  2.37   13411    7086   48445    73420   5.47
CHE        1876        85-89     0.22945  0.69989  2.21    6325    4427   19294    24975   3.95
CHE        1876        90-94     0.31627  0.81348  2.02    1898    1544    4883     5681   2.99
CHE        1876        95-99     0.44247  0.92903  1.88     354     329     743      798   2.25
CHE        1876       100-104    0.45768  1.00000  2.18      25      25      55       55   2.18
CHE        1876       105-109         .       .    .       0       0       0        0      .
CHE        1876       110+             .        .    .       0       0       0        0      .
CHE        1877           0      0.26202  0.22137  0.30  100000   22137   84484  4426078  44.26
CHE        1877         1-4      0.02201  0.08347  1.52   77863    6499  295360  4341594  55.76
CHE        1877         5-9      0.00506  0.02491  2.05   71364    1778  351579  4046234  56.70
CHE        1877        10-14     0.00294  0.01457  2.53   69586    1014  345428  3694655  53.09
CHE        1877        15-19     0.00444  0.02198  2.83   68572    1507  339594  3349227  48.84
CHE        1877        20-24     0.00558  0.02751  2.45   67065    1845  330617  3009633  44.88
CHE        1877        25-29     0.00602  0.02967  2.52   65220    1935  321295  2679016  41.08
CHE        1877        30-34     0.00614  0.03026  2.61   63285    1915  311844  2357721  37.26
CHE        1877        35-39     0.00736  0.03619  2.62   61370    2221  301556  2045877  33.34
CHE        1877        40-44     0.00971  0.04737  2.45   59149    2802  288588  1744321  29.49
CHE        1877        45-49     0.01124  0.05471  2.59   56347    3083  274308  1455733  25.84
CHE        1877        50-54     0.01527  0.07372  2.65   53264    3927  257079  1181425  22.18
CHE        1877        55-59     0.01962  0.09355  2.52   49337    4615  235245   924345  18.74
CHE        1877        60-64     0.02800  0.13115  2.59   44722    5865  209486   689100  15.41
CHE        1877        65-69     0.04149  0.18893  2.64   38857    7341  176934   479614  12.34
CHE        1877        70-74     0.06461  0.27812  2.50   31515    8765  135671   302680   9.60
CHE        1877        75-79     0.09913  0.39695  2.49   22750    9031   91101   167008   7.34
CHE        1877        80-84     0.14219  0.51684  2.36   13720    7091   49869    75907   5.53
CHE        1877        85-89     0.23044  0.69908  2.19    6629    4634   20110    26038   3.93
CHE        1877        90-94     0.32169  0.81356  1.96    1995    1623    5045     5928   2.97
CHE        1877        95-99     0.40345  0.89091  1.87     372     331     821      884   2.38
CHE        1877       100-104    0.62965  0.94444  1.29      41      38      61       62   1.54
CHE        1877       105-109    1.49595  1.00000  0.67       2       2       2        2   0.67
CHE        1877       110+             .        .    .       0       0       0        0      .
CHE        1878           0      0.26443  0.22308  0.30  100000   22308   84364  4419969  44.20
CHE        1878         1-4      0.02126  0.08072  1.49   77692    6271  295029  4335605  55.81
CHE        1878         5-9      0.00502  0.02473  2.16   71420    1766  352085  4040576  56.57
CHE        1878        10-14     0.00337  0.01669  2.43   69654    1163  345281  3688492  52.95
CHE        1878        15-19     0.00408  0.02023  2.74   68492    1386  339322  3343211  48.81
CHE        1878        20-24     0.00561  0.02766  2.51   67106    1856  330907  3003889  44.76
CHE        1878        25-29     0.00589  0.02903  2.45   65250    1894  321414  2672982  40.97
CHE        1878        30-34     0.00631  0.03108  2.62   63356    1969  312089  2351567  37.12
CHE        1878        35-39     0.00703  0.03457  2.66   61387    2122  301975  2039478  33.22
CHE        1878        40-44     0.00992  0.04829  2.23   59264    2862  288405  1737504  29.32
CHE        1878        45-49     0.01100  0.05359  2.63   56403    3023  274853  1449099  25.69
CHE        1878        50-54     0.01629  0.07837  2.58   53380    4183  256778  1174246  22.00
CHE        1878        55-59     0.02078  0.09904  2.63   49196    4872  234416   917468  18.65
CHE        1878        60-64     0.02799  0.13087  2.52   44324    5801  207257   683052  15.41
CHE        1878        65-69     0.04227  0.19204  2.62   38523    7398  175007   475794  12.35
CHE        1878        70-74     0.06380  0.27573  2.54   31125    8582  134526   300787   9.66
CHE        1878        75-79     0.09586  0.38641  2.49   22543    8711   90870   166262   7.38
CHE        1878        80-84     0.14961  0.54059  2.43   13832    7478   49980    75391   5.45
CHE        1878        85-89     0.22225  0.68283  2.18    6355    4339   19524    25411   4.00
CHE        1878        90-94     0.33024  0.82899  2.00    2016    1671    5060     5887   2.92
CHE        1878        95-99     0.39863  0.86755  1.75     345     299     750      828   2.40
CHE        1878       100-104    0.60568  0.95000  1.39      46      43      72       78   1.70
CHE        1878       105-109    0.37458  1.00000  2.67       2       2       6        6   2.67
CHE        1878       110+             .        .    .       0       0       0        0      .
CHE        1879           0      0.26004  0.21995  0.30  100000   21995   84583  4423884  44.24
CHE        1879         1-4      0.02206  0.08346  1.40   78005    6510  295097  4339300  55.63
CHE        1879         5-9      0.00511  0.02516  2.09   71495    1799  352246  4044203  56.57
CHE        1879        10-14     0.00300  0.01489  2.35   69696    1038  345727  3691957  52.97
CHE        1879        15-19     0.00452  0.02237  2.73   68658    1536  339805  3346230  48.74
CHE        1879        20-24     0.00563  0.02773  2.45   67122    1861  330858  3006425  44.79
CHE        1879        25-29     0.00607  0.02989  2.54   65261    1950  321507  2675567  41.00
CHE        1879        30-34     0.00608  0.02996  2.57   63311    1897  311943  2354060  37.18
CHE        1879        35-39     0.00871  0.04273  2.86   61414    2624  301454  2042116  33.25
CHE        1879        40-44     0.00836  0.04093  2.53   58789    2406  287998  1740662  29.61
CHE        1879        45-49     0.01146  0.05581  2.64   56383    3146  274491  1452664  25.76
CHE        1879        50-54     0.01556  0.07497  2.59   53236    3991  256564  1178173  22.13
CHE        1879        55-59     0.01973  0.09414  2.57   49245    4636  234942   921609  18.71
CHE        1879        60-64     0.02935  0.13701  2.58   44609    6112  208246   686667  15.39
CHE        1879        65-69     0.04227  0.19182  2.59   38497    7384  174687   478420  12.43
CHE        1879        70-74     0.06172  0.26796  2.54   31113    8337  135068   303734   9.76
CHE        1879        75-79     0.09691  0.38811  2.44   22776    8840   91219   168666   7.41
CHE        1879        80-84     0.14493  0.52653  2.40   13936    7338   50632    77447   5.56
CHE        1879        85-89     0.22022  0.67931  2.18    6598    4482   20354    26815   4.06
CHE        1879        90-94     0.31366  0.81290  2.04    2116    1720    5484     6462   3.05
CHE        1879        95-99     0.39382  0.88506  1.89     396     350     890      978   2.47
CHE        1879       100-104    0.52277  0.95000  1.65      46      43      83       88   1.93
CHE        1879       105-109    0.42868  1.00000  2.33       2       2       5        5   2.33
CHE        1879       110+             .        .    .       0       0       0        0      .
CHE        1880           0      0.23808  0.20403  0.30  100000   20403   85699  4581338  45.81
CHE        1880         1-4      0.02003  0.07611  1.37   79597    6058  302444  4495638  56.48
CHE        1880         5-9      0.00488  0.02406  2.28   73539    1770  362885  4193194  57.02
CHE        1880        10-14     0.00299  0.01484  2.36   71769    1065  356030  3830309  53.37
CHE        1880        15-19     0.00419  0.02076  2.81   70704    1468  350314  3474279  49.14
CHE        1880        20-24     0.00607  0.02990  2.52   69237    2070  341050  3123965  45.12
CHE        1880        25-29     0.00580  0.02857  2.43   67166    1919  330910  2782915  41.43
CHE        1880        30-34     0.00603  0.02971  2.47   65248    1938  321342  2452005  37.58
