Life tables (cohort 5x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.24354  0.20832  0.31  100000   20832   85538  4595693  45.96
CHE      1876-1879      1-4      0.02189  0.08294  1.45   79168    6566  299936  4510155  56.97
CHE      1876-1879      5-9      0.00526  0.02588  2.09   72602    1879  357545  4210219  57.99
CHE      1876-1879     10-14     0.00316  0.01569  2.55   70723    1110  350899  3852674  54.48
CHE      1876-1879     15-19     0.00468  0.02315  2.68   69614    1612  344321  3501776  50.30
CHE      1876-1879     20-24     0.00561  0.02765  2.50   68002    1880  335318  3157455  46.43
CHE      1876-1879     25-29     0.00620  0.03051  2.51   66122    2018  325594  2822137  42.68
CHE      1876-1879     30-34     0.00616  0.03031  2.52   64104    1943  315694  2496543  38.94
CHE      1876-1879     35-39     0.00701  0.03446  2.65   62161    2142  305780  2180849  35.08
CHE      1876-1879     40-44     0.00851  0.04163  2.41   60019    2499  293619  1875069  31.24
CHE      1876-1879     45-49     0.00911  0.04459  2.63   57520    2565  281518  1581450  27.49
CHE      1876-1879     50-54     0.01274  0.06183  2.61   54956    3398  266656  1299932  23.65
CHE      1876-1879     55-59     0.01666  0.08007  2.59   51558    4128  247835  1033277  20.04
CHE      1876-1879     60-64     0.02359  0.11159  2.58   47429    5292  224366   785442  16.56
CHE      1876-1879     65-69     0.03593  0.16564  2.64   42137    6979  194239   561076  13.32
CHE      1876-1879     70-74     0.05503  0.24249  2.55   35158    8525  154921   366837  10.43
CHE      1876-1879     75-79     0.08581  0.35378  2.52   26632    9422  109806   211917   7.96
CHE      1876-1879     80-84     0.13101  0.49030  2.44   17210    8438   64408   102111   5.93
CHE      1876-1879     85-89     0.20585  0.65744  2.25    8772    5767   28016    37703   4.30
CHE      1876-1879     90-94     0.29077  0.78399  2.06    3005    2356    8102     9687   3.22
CHE      1876-1879     95-99     0.39456  0.87674  1.83     649     569    1442     1585   2.44
CHE      1876-1879    100-104    0.55308  0.93286  1.45      80      75     135      143   1.79
CHE      1876-1879    105-109    0.67010  1.00000  1.49       5       5       8        8   1.49
CHE      1876-1879    110+             .        .     .       0       0       0        0      .
CHE      1880-1889        0      0.19032  0.16811  0.31  100000   16811   88329  5034417  50.34
CHE      1880-1889      1-4      0.01742  0.06665  1.40   83189    5545  318362  4946088  59.46
CHE      1880-1889      5-9      0.00483  0.02382  2.16   77645    1849  382975  4627725  59.60
CHE      1880-1889     10-14     0.00277  0.01376  2.47   75795    1043  376332  4244750  56.00
CHE      1880-1889     15-19     0.00437  0.02162  2.72   74752    1616  370067  3868418  51.75
CHE      1880-1889     20-24     0.00548  0.02703  2.54   73136    1977  360821  3498350  47.83
CHE      1880-1889     25-29     0.00567  0.02796  2.59   71159    1989  351003  3137529  44.09
CHE      1880-1889     30-34     0.00675  0.03318  2.46   69170    2295  340017  2786526  40.29
CHE      1880-1889     35-39     0.00641  0.03153  2.43   66874    2108  328953  2446509  36.58
CHE      1880-1889     40-44     0.00639  0.03148  2.57   64766    2039  318878  2117555  32.70
CHE      1880-1889     45-49     0.00815  0.03998  2.59   62727    2508  307598  1798678  28.67
CHE      1880-1889     50-54     0.01096  0.05340  2.59   60219    3216  293350  1491079  24.76
CHE      1880-1889     55-59     0.01495  0.07218  2.61   57003    4114  275189  1197730  21.01
CHE      1880-1889     60-64     0.02128  0.10123  2.61   52889    5354  251657   922540  17.44
CHE      1880-1889     65-69     0.03188  0.14808  2.61   47535    7039  220817   670883  14.11
CHE      1880-1889     70-74     0.04841  0.21681  2.59   40496    8780  181358   450066  11.11
CHE      1880-1889     75-79     0.07756  0.32578  2.55   31716   10333  133227   268707   8.47
CHE      1880-1889     80-84     0.12205  0.46480  2.44   21383    9939   81432   135480   6.34
CHE      1880-1889     85-89     0.18166  0.60832  2.29   11445    6962   38325    54048   4.72
CHE      1880-1889     90-94     0.26250  0.74642  2.11    4483    3346   12746    15723   3.51
CHE      1880-1889     95-99     0.36549  0.85837  1.91    1137     976    2670     2977   2.62
CHE      1880-1889    100-104    0.51930  0.93939  1.60     161     151     291      308   1.91
CHE      1880-1889    105-109    0.57978  0.96250  1.53      10       9      16       16   1.67
CHE      1880-1889    110+       2.98512  1.00000  0.33       0       0       0        0   0.33
CHE      1890-1899        0      0.16731  0.14990  0.31  100000   14990   89592  5462456  54.62
CHE      1890-1899      1-4      0.01359  0.05244  1.34   85010    4458  328174  5372863  63.20
CHE      1890-1899      5-9      0.00352  0.01741  2.20   80552    1403  398824  5044689  62.63
CHE      1890-1899     10-14     0.00230  0.01146  2.56   79149     907  393532  4645865  58.70
CHE      1890-1899     15-19     0.00398  0.01973  2.79   78242    1544  387798  4252334  54.35
CHE      1890-1899     20-24     0.00558  0.02751  2.50   76699    2110  378226  3864536  50.39
CHE      1890-1899     25-29     0.00541  0.02669  2.36   74588    1991  367686  3486310  46.74
CHE      1890-1899     30-34     0.00417  0.02065  2.50   72598    1499  359240  3118623  42.96
CHE      1890-1899     35-39     0.00445  0.02200  2.53   71099    1564  351638  2759384  38.81
CHE      1890-1899     40-44     0.00507  0.02504  2.57   69535    1741  343433  2407746  34.63
CHE      1890-1899     45-49     0.00637  0.03139  2.61   67793    2128  333879  2064313  30.45
CHE      1890-1899     50-54     0.00880  0.04312  2.62   65666    2831  321585  1730433  26.35
CHE      1890-1899     55-59     0.01229  0.05971  2.63   62834    3752  305275  1408848  22.42
CHE      1890-1899     60-64     0.01813  0.08691  2.63   59082    5135  283226  1103573  18.68
CHE      1890-1899     65-69     0.02781  0.13046  2.63   53947    7038  253047   820347  15.21
CHE      1890-1899     70-74     0.04332  0.19613  2.59   46909    9200  212361   567300  12.09
CHE      1890-1899     75-79     0.06604  0.28419  2.55   37709   10717  162269   354939   9.41
CHE      1890-1899     80-84     0.10070  0.40179  2.49   26993   10845  107705   192670   7.14
CHE      1890-1899     85-89     0.15411  0.54778  2.36   16147    8845   57395    84965   5.26
CHE      1890-1899     90-94     0.23783  0.71181  2.18    7302    5198   21854    27570   3.78
CHE      1890-1899     95-99     0.34871  0.84444  1.95    2104    1777    5096     5716   2.72
CHE      1890-1899    100-104    0.52199  0.94844  1.64     327     310     595      620   1.89
CHE      1890-1899    105-109    0.66114  0.97241  1.37      17      16      25       25   1.48
CHE      1890-1899    110+       2.39178  1.00000  0.42       0       0       0        0   0.42
CHE      1900-1909        0      0.14082  0.12828  0.31  100000   12828   91094  5949338  59.49
CHE      1900-1909      1-4      0.01050  0.04085  1.32   87172    3561  339163  5858245  67.20
CHE      1900-1909      5-9      0.00271  0.01344  2.25   83612    1124  414965  5519082  66.01
CHE      1900-1909     10-14     0.00211  0.01047  2.56   82488     864  410332  5104117  61.88
CHE      1900-1909     15-19     0.00343  0.01699  2.65   81624    1387  404861  4693784  57.51
CHE      1900-1909     20-24     0.00376  0.01864  2.53   80237    1496  397489  4288923  53.45
CHE      1900-1909     25-29     0.00356  0.01762  2.43   78741    1388  390145  3891435  49.42
CHE      1900-1909     30-34     0.00326  0.01619  2.46   77354    1252  383594  3501290  45.26
CHE      1900-1909     35-39     0.00328  0.01625  2.52   76102    1237  377436  3117696  40.97
CHE      1900-1909     40-44     0.00374  0.01856  2.58   74865    1389  370968  2740260  36.60
CHE      1900-1909     45-49     0.00495  0.02446  2.62   73475    1797  363104  2369293  32.25
CHE      1900-1909     50-54     0.00713  0.03506  2.66   71678    2513  352509  2006189  27.99
CHE      1900-1909     55-59     0.01070  0.05217  2.65   69165    3608  337328  1653680  23.91
CHE      1900-1909     60-64     0.01614  0.07773  2.63   65557    5095  315705  1316352  20.08
CHE      1900-1909     65-69     0.02411  0.11398  2.61   60461    6892  285861  1000647  16.55
CHE      1900-1909     70-74     0.03522  0.16239  2.60   53570    8699  246984   714785  13.34
