Death rates (cohort 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1870-1874     50-54            0.009304        0.013269        0.011363
AUS      1870-1874     55-59            0.011863        0.017478        0.014738
AUS      1870-1874     60-64            0.018212        0.026985        0.022610
AUS      1870-1874     65-69            0.029383        0.042556        0.035814
AUS      1870-1874     70-74            0.047123        0.063824        0.055006
AUS      1870-1874     75-79            0.075327        0.098896        0.085883
AUS      1870-1874     80-84            0.111840        0.141801        0.123979
AUS      1870-1874     85-89            0.171411        0.212955        0.186511
AUS      1870-1874     90-94            0.254950        0.303055        0.269915
AUS      1870-1874     95-99            0.372090        0.430371        0.387182
AUS      1870-1874    100-104           0.523852        0.456813        0.507238
AUS      1870-1874    105-109           0.505399        0.778559        0.557076
AUS      1870-1874    110+              0.698795              .        0.698795
AUS      1875-1879        0                    .               .               .
AUS      1875-1879      1-4                    .               .               .
AUS      1875-1879      5-9                    .               .               .
AUS      1875-1879     10-14                   .               .               .
AUS      1875-1879     15-19                   .               .               .
AUS      1875-1879     20-24                   .               .               .
AUS      1875-1879     25-29                   .               .               .
AUS      1875-1879     30-34                   .               .               .
AUS      1875-1879     35-39                   .               .               .
AUS      1875-1879     40-44                   .               .               .
AUS      1875-1879     45-49            0.006981        0.009766        0.008417
AUS      1875-1879     50-54            0.008689        0.012421        0.010603
AUS      1875-1879     55-59            0.011709        0.018079        0.014931
AUS      1875-1879     60-64            0.017990        0.028152        0.023021
AUS      1875-1879     65-69            0.028021        0.042932        0.035159
AUS      1875-1879     70-74            0.043610        0.065075        0.053410
AUS      1875-1879     75-79            0.069859        0.099992        0.082667
AUS      1875-1879     80-84            0.104436        0.138153        0.117473
AUS      1875-1879     85-89            0.168050        0.218990        0.185287
AUS      1875-1879     90-94            0.245315        0.295444        0.259454
AUS      1875-1879     95-99            0.354110        0.403898        0.365774
AUS      1875-1879    100-104           0.410206        0.472952        0.421660
AUS      1875-1879    105-109           0.604093        0.590000        0.601834
AUS      1875-1879    110+              1.500000        2.083333        1.857955
AUS      1880-1884        0                    .               .               .
AUS      1880-1884      1-4                    .               .               .
AUS      1880-1884      5-9                    .               .               .
AUS      1880-1884     10-14                   .               .               .
AUS      1880-1884     15-19                   .               .               .
AUS      1880-1884     20-24                   .               .               .
