Life tables (cohort 1x10), Males 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE      1876-1879        0      0.26957  0.22673  0.30  100000   22673   84108  4392817  43.93
CHE      1876-1879        1      0.03935  0.03858  0.49   77327    2983   75802  4308709  55.72
CHE      1876-1879        2      0.02099  0.02077  0.51   74344    1544   73587  4232907  56.94
CHE      1876-1879        3      0.01543  0.01532  0.51   72799    1115   72249  4159320  57.13
CHE      1876-1879        4      0.01134  0.01127  0.50   71684     808   71278  4087071  57.01
CHE      1876-1879        5      0.00814  0.00811  0.51   70876     575   70595  4015793  56.66
CHE      1876-1879        6      0.00583  0.00581  0.51   70301     408   70103  3945198  56.12
CHE      1876-1879        7      0.00447  0.00446  0.52   69893     312   69742  3875095  55.44
CHE      1876-1879        8      0.00405  0.00404  0.52   69581     281   69446  3805353  54.69
CHE      1876-1879        9      0.00354  0.00354  0.51   69300     245   69180  3735907  53.91
CHE      1876-1879       10      0.00309  0.00309  0.50   69055     213   68949  3666727  53.10
CHE      1876-1879       11      0.00303  0.00303  0.52   68842     208   68742  3597778  52.26
CHE      1876-1879       12      0.00301  0.00301  0.49   68633     207   68528  3529036  51.42
CHE      1876-1879       13      0.00267  0.00267  0.52   68427     182   68339  3460508  50.57
CHE      1876-1879       14      0.00306  0.00305  0.51   68244     208   68142  3392169  49.71
CHE      1876-1879       15      0.00317  0.00317  0.51   68036     215   67930  3324027  48.86
CHE      1876-1879       16      0.00371  0.00370  0.51   67821     251   67697  3256097  48.01
CHE      1876-1879       17      0.00427  0.00426  0.52   67570     288   67432  3188400  47.19
CHE      1876-1879       18      0.00508  0.00507  0.51   67282     341   67116  3120968  46.39
CHE      1876-1879       19      0.00519  0.00517  0.51   66941     346   66770  3053852  45.62
CHE      1876-1879       20      0.00564  0.00562  0.51   66594     375   66409  2987082  44.85
CHE      1876-1879       21      0.00578  0.00576  0.51   66220     382   66034  2920673  44.11
CHE      1876-1879       22      0.00545  0.00544  0.51   65838     358   65664  2854639  43.36
CHE      1876-1879       23      0.00553  0.00552  0.51   65480     361   65302  2788975  42.59
CHE      1876-1879       24      0.00546  0.00545  0.49   65119     355   64938  2723673  41.83
CHE      1876-1879       25      0.00573  0.00571  0.51   64764     370   64582  2658735  41.05
CHE      1876-1879       26      0.00583  0.00582  0.51   64394     375   64210  2594153  40.29
CHE      1876-1879       27      0.00631  0.00629  0.50   64019     403   63817  2529943  39.52
CHE      1876-1879       28      0.00611  0.00609  0.51   63617     388   63427  2466126  38.77
CHE      1876-1879       29      0.00587  0.00585  0.51   63229     370   63046  2402699  38.00
CHE      1876-1879       30      0.00591  0.00589  0.51   62859     370   62678  2339652  37.22
CHE      1876-1879       31      0.00572  0.00570  0.50   62489     356   62310  2276974  36.44
CHE      1876-1879       32      0.00583  0.00582  0.51   62133     361   61957  2214664  35.64
CHE      1876-1879       33      0.00636  0.00634  0.51   61771     392   61579  2152707  34.85
CHE      1876-1879       34      0.00697  0.00694  0.51   61380     426   61171  2091127  34.07
CHE      1876-1879       35      0.00656  0.00654  0.50   60954     399   60755  2029956  33.30
